mode: count
fmt/errors.go:22.44,28.28 6 17
fmt/errors.go:29.9,30.22 1 4
fmt/errors.go:31.9,34.10 3 7
fmt/errors.go:35.10,36.18 1 6
fmt/errors.go:36.18,38.4 1 2
fmt/errors.go:39.3,40.40 2 6
fmt/errors.go:40.40,41.45 1 18
fmt/errors.go:41.45,42.13 1 2
fmt/errors.go:44.4,44.38 1 16
fmt/errors.go:44.38,46.5 1 14
fmt/errors.go:48.3,48.29 1 6
fmt/errors.go:50.2,51.12 2 17
fmt/errors.go:59.36,61.2 1 7
fmt/errors.go:63.36,65.2 1 7
fmt/errors.go:72.37,74.2 1 6
fmt/errors.go:76.39,78.2 1 6
fmt/format.go:54.28,56.2 1 14286
fmt/format.go:58.33,61.2 2 6235
fmt/format.go:64.35,65.12 1 7217
fmt/format.go:65.12,67.3 1 25
fmt/format.go:68.2,72.23 4 7192
fmt/format.go:72.23,75.3 2 0
fmt/format.go:77.2,78.12 2 7192
fmt/format.go:78.12,80.3 1 1786
fmt/format.go:82.2,83.25 2 7192
fmt/format.go:83.25,85.3 1 38654
fmt/format.go:86.2,86.23 1 7192
fmt/format.go:90.29,91.33 1 8117
fmt/format.go:91.33,94.3 2 2582
fmt/format.go:95.2,96.14 2 5535
fmt/format.go:96.14,100.3 2 5463
fmt/format.go:100.8,104.3 2 72
fmt/format.go:108.35,109.33 1 239
fmt/format.go:109.33,112.3 2 221
fmt/format.go:113.2,114.14 2 18
fmt/format.go:114.14,118.3 2 12
fmt/format.go:118.8,122.3 2 6
fmt/format.go:126.34,127.7 1 11
fmt/format.go:127.7,129.3 1 9
fmt/format.go:129.8,131.3 1 2
fmt/format.go:135.36,142.33 3 22
fmt/format.go:142.33,146.23 3 6
fmt/format.go:146.23,148.4 1 2
fmt/format.go:152.2,155.62 2 22
fmt/format.go:155.62,164.3 8 10
fmt/format.go:166.2,166.14 1 22
fmt/format.go:166.14,171.3 4 59
fmt/format.go:172.2,176.15 4 22
fmt/format.go:176.15,180.3 3 159
fmt/format.go:182.2,190.18 8 22
fmt/format.go:194.87,196.14 2 2143
fmt/format.go:196.14,198.3 1 21
fmt/format.go:200.2,203.35 2 2143
fmt/format.go:203.35,206.23 2 85
fmt/format.go:206.23,209.4 1 7
fmt/format.go:215.2,216.19 2 2143
fmt/format.go:216.19,219.26 2 27
fmt/format.go:219.26,225.4 5 5
fmt/format.go:226.8,226.35 1 2116
fmt/format.go:226.35,228.36 2 20
fmt/format.go:228.36,230.4 1 2
fmt/format.go:236.2,239.14 2 2138
fmt/format.go:240.10,241.15 1 2012
fmt/format.go:241.15,246.4 4 3323
fmt/format.go:247.10,248.15 1 90
fmt/format.go:248.15,252.4 3 271
fmt/format.go:253.9,254.14 1 23
fmt/format.go:254.14,258.4 3 78
fmt/format.go:259.9,260.14 1 13
fmt/format.go:260.14,264.4 3 222
fmt/format.go:265.10,266.43 1 0
fmt/format.go:268.2,270.33 3 2138
fmt/format.go:270.33,273.3 2 596
fmt/format.go:276.2,276.13 1 2138
fmt/format.go:276.13,277.15 1 91
fmt/format.go:278.10,283.16 4 2
fmt/format.go:284.10,285.21 1 9
fmt/format.go:285.21,288.5 2 8
fmt/format.go:289.11,294.16 4 74
fmt/format.go:297.2,297.17 1 2138
fmt/format.go:297.17,302.3 4 2
fmt/format.go:304.2,304.14 1 2138
fmt/format.go:304.14,307.3 2 21
fmt/format.go:307.8,307.19 1 2117
fmt/format.go:307.19,310.3 2 10
fmt/format.go:310.8,310.20 1 2107
fmt/format.go:310.20,313.3 2 14
fmt/format.go:317.2,320.18 4 2138
fmt/format.go:324.47,325.19 1 313
fmt/format.go:325.19,327.20 2 17
fmt/format.go:327.20,329.13 2 67
fmt/format.go:329.13,331.5 1 15
fmt/format.go:334.2,334.10 1 298
fmt/format.go:338.41,339.19 1 16
fmt/format.go:339.19,341.27 2 4
fmt/format.go:341.27,343.13 2 19
fmt/format.go:343.13,345.5 1 3
fmt/format.go:346.4,347.29 2 16
fmt/format.go:347.29,349.5 1 11
fmt/format.go:350.4,350.12 1 16
fmt/format.go:353.2,353.10 1 13
fmt/format.go:357.30,360.2 2 205
fmt/format.go:363.31,366.2 2 16
fmt/format.go:369.57,371.14 2 102
fmt/format.go:371.14,374.3 1 47
fmt/format.go:376.2,376.38 1 102
fmt/format.go:376.38,378.3 1 4
fmt/format.go:380.2,381.15 2 102
fmt/format.go:381.15,382.14 1 82
fmt/format.go:382.14,384.15 1 32
fmt/format.go:384.15,386.5 1 15
fmt/format.go:388.4,388.23 1 32
fmt/format.go:389.9,389.21 1 50
fmt/format.go:389.21,392.4 1 15
fmt/format.go:393.8,394.19 1 20
fmt/format.go:394.19,396.4 1 12
fmt/format.go:397.3,397.9 1 20
fmt/format.go:400.2,400.47 1 82
fmt/format.go:400.47,402.3 1 32
fmt/format.go:404.2,405.13 2 82
fmt/format.go:405.13,408.3 1 30
fmt/format.go:409.2,410.30 2 82
fmt/format.go:410.30,411.23 1 233
fmt/format.go:411.23,414.15 2 34
fmt/format.go:414.15,417.5 1 17
fmt/format.go:419.3,419.15 1 233
fmt/format.go:419.15,421.4 1 145
fmt/format.go:421.9,423.4 1 88
fmt/format.go:425.3,425.49 1 233
fmt/format.go:427.2,429.46 2 82
fmt/format.go:429.46,431.3 1 8
fmt/format.go:435.39,437.2 1 47
fmt/format.go:440.46,442.2 1 55
fmt/format.go:447.30,449.40 2 108
fmt/format.go:449.40,452.3 2 14
fmt/format.go:453.2,454.12 2 94
fmt/format.go:454.12,456.3 1 14
fmt/format.go:456.8,458.3 1 80
fmt/format.go:463.30,467.22 2 27
fmt/format.go:467.22,469.3 1 5
fmt/format.go:470.2,471.32 2 27
fmt/format.go:476.31,478.22 2 34
fmt/format.go:478.22,480.3 1 4
fmt/format.go:481.2,482.12 2 34
fmt/format.go:482.12,484.3 1 12
fmt/format.go:484.8,486.3 1 22
fmt/format.go:491.66,493.19 1 7393
fmt/format.go:493.19,495.3 1 7205
fmt/format.go:497.2,498.36 2 7393
fmt/format.go:498.36,500.3 1 3560
fmt/format.go:500.8,502.3 1 3833
fmt/format.go:505.2,505.41 1 7393
fmt/format.go:505.41,507.3 1 591
fmt/format.go:510.2,510.36 1 7393
fmt/format.go:510.36,514.43 3 3517
fmt/format.go:514.43,516.4 1 153
fmt/format.go:517.3,519.9 3 3517
fmt/format.go:523.2,523.28 1 3876
fmt/format.go:523.28,525.15 2 68
fmt/format.go:526.27,529.20 2 52
fmt/format.go:529.20,531.5 1 15
fmt/format.go:536.3,542.33 5 68
fmt/format.go:542.33,543.18 1 250
fmt/format.go:544.13,545.27 1 27
fmt/format.go:546.18,548.18 2 8
fmt/format.go:549.18,550.35 1 25
fmt/format.go:550.35,553.11 3 23
fmt/format.go:555.5,555.16 1 2
fmt/format.go:556.12,557.22 1 192
fmt/format.go:557.22,559.6 1 133
fmt/format.go:561.5,561.24 1 192
fmt/format.go:561.24,563.6 1 173
fmt/format.go:566.3,566.23 1 68
fmt/format.go:566.23,568.38 1 41
fmt/format.go:568.38,570.5 1 6
fmt/format.go:571.4,571.26 1 41
fmt/format.go:573.3,573.18 1 68
fmt/format.go:573.18,576.4 2 89
fmt/format.go:577.3,577.29 1 68
fmt/format.go:580.2,580.29 1 3876
fmt/format.go:580.29,583.49 1 3337
fmt/format.go:583.49,588.4 4 1607
fmt/format.go:589.3,590.9 2 1730
fmt/format.go:593.2,593.16 1 539
fmt/print.go:81.50,84.28 3 10
fmt/print.go:84.28,85.25 1 50
fmt/print.go:85.25,87.4 1 10
fmt/print.go:89.2,89.32 1 10
fmt/print.go:89.32,91.3 1 7
fmt/print.go:92.2,92.36 1 10
fmt/print.go:92.36,95.3 2 7
fmt/print.go:96.2,97.18 2 10
fmt/print.go:103.34,105.2 1 9740
fmt/print.go:107.40,109.2 1 7894
fmt/print.go:111.36,113.2 1 4240
fmt/print.go:115.37,117.2 1 8959
fmt/print.go:147.18,147.36 1 4
fmt/print.go:151.23,158.2 6 6235
fmt/print.go:161.21,169.26 1 6235
fmt/print.go:169.26,171.3 1 0
fmt/print.go:171.8,173.3 1 6235
fmt/print.go:174.2,174.28 1 6235
fmt/print.go:174.28,176.3 1 0
fmt/print.go:178.2,181.15 4 6235
fmt/print.go:184.41,184.79 1 60
fmt/print.go:186.46,186.86 1 60
fmt/print.go:188.31,189.11 1 7680
fmt/print.go:190.11,191.21 1 60
fmt/print.go:192.11,193.35 1 60
fmt/print.go:194.11,195.37 1 60
fmt/print.go:196.11,197.21 1 60
fmt/print.go:198.11,199.20 1 60
fmt/print.go:201.2,201.14 1 7380
fmt/print.go:206.51,209.2 2 16
fmt/print.go:213.57,216.2 2 63
fmt/print.go:222.71,228.2 5 1632
fmt/print.go:232.57,234.2 1 24
fmt/print.go:237.46,243.2 5 4543
fmt/print.go:247.56,253.2 5 1
fmt/print.go:260.55,266.2 5 15
fmt/print.go:271.41,273.2 1 4
fmt/print.go:277.30,283.2 5 12
fmt/print.go:287.40,293.2 5 1
fmt/print.go:302.57,308.2 5 9
fmt/print.go:313.43,315.2 1 8
fmt/print.go:319.32,325.2 5 4
fmt/print.go:330.42,336.2 5 1
fmt/print.go:341.53,343.53 2 54
fmt/print.go:343.53,345.3 1 3
fmt/print.go:346.2,346.12 1 54
fmt/print.go:351.27,354.2 2 16439
fmt/print.go:357.73,358.18 1 12571
fmt/print.go:358.18,360.3 1 1035
